"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","ACCOUNTING_ENTRY","INDICATOR","SECTOR","COUNTERPART_SECTOR","COUNTERPART_COUNTRY","FREQUENCY","SCALE","2022","2023","2024"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.DEU.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Germany","Annual","Millions","11063.8418","10987.015","10379.6499"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.BGD.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Bangladesh","Annual","Millions","","","0"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.MAC.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Macao Special Administrative Region, People's Republic of China","Annual","Millions","183.0064059399562","214.1720967027266","219.076290411494"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.HKG.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Hong Kong Special Administrative Region, People's Republic of China","Annual","Millions","","",""
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.FRA.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","France","Annual","Millions","6074.114210800002","7315.521004999999","5809.649312400001"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.LTU.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Lithuania, Republic of","Annual","Millions","22.66525000000001","23.9122","21.577953"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.PAN.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Panama","Annual","Millions","463.042231704972","373.701539997886","299.235300099048"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.MYS.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Malaysia","Annual","Millions","472.9156561228189","809.7397216269193","902.4945990604027"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.NOR.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Norway","Annual","Millions","4550.101419878296","6228.416912487709","6955.066079295154"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.GRC.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Greece","Annual","Millions","132.2584","150.28","150.6405"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.SWE.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Sweden","Annual","Millions","1254.591313187498","1619.761790949649","1151.325034678465"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.THA.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Thailand","Annual","Millions","317.855904","342.293543","450.814073"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.ESP.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Spain","Annual","Millions","4610.911800000001","5459.804999999999","4975.2921"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.KOS.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Kosovo, Republic of","Annual","Millions","2.346520000000001","3.038573979536714","1.437870727059998"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.CYP.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Cyprus","Annual","Millions","61.90800267865602","49.72172104509999","56.84784715119601"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.CHN.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","China, People's Republic of","Annual","Millions","564.92374007","606.70239386","481.46664637"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.EGY.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Egypt, Arab Republic of","Annual","Millions","","","24.2"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.ISR.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Israel","Annual","Millions","311","120","135"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.ROU.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Romania","Annual","Millions","0.1886023769480001","0.7963788371499999","1.525769732385"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.ABW.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Aruba, Kingdom of the Netherlands","Annual","Millions","4.63988015642458","2.20412808379888","2.20412808379888"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.CWX.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Curaçao and Sint Maarten","Annual","Millions","6.4614","3.08766",""
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.BGR.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Bulgaria","Annual","Millions","262.0645033226695","281.095273442491","340.4773971154048"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.ALB.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Albania","Annual","Millions","25.06475226699766","26.7015425637641","29.55884995023538"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.BHS.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Bahamas, The","Annual","Millions","27","-9","5"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.UKR.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Ukraine","Annual","Millions","1.8","1.951652","1.720352"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.MUS.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Mauritius","Annual","Millions","2","1","3"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.LVA.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Latvia, Republic of","Annual","Millions","85.32800000000002","58.56499999999999","49.8672"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.BHR.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Bahrain, Kingdom of","Annual","Millions","123.2","137.4","153.7"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.GIB.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Gibraltar","Annual","Millions","2.003287999999999","","1.25455"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.NAM.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Namibia","Annual","Millions","","","2.29365411834798"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.SVK.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Slovak Republic","Annual","Millions","79.99500000000002","58.56499999999999","40.5171"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.BMU.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Bermuda","Annual","Millions","3302.15478650347","3297.00124790101","3559.6024512235"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.HUN.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Hungary","Annual","Millions","34.25521720613288","57.79067082323057","84.44105691056911"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.IDN.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Indonesia","Annual","Millions","0.367189490187276","0.33771369317961","0.0519728638980009"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.PHL.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Philippines","Annual","Millions","","171.81686106",""
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.EST.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Estonia, Republic of","Annual","Millions","26.02086639420001","30.38902269","28.2030577782"
